

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B53	4.060	ULS-Set  B  (auto)/1	-193.43	0.00	-6.84	0.00	-3.32	0.00
B53	4.060	ULS-Set  B  (auto)/2	-261.13	0.00	-9.23	0.00	-4.48	0.00
B53	2.030-	ULS-Set  B  (auto)/2	-262.78	0.00	-0.02	0.00	4.92	0.00
B53	0.000	ULS-Set  B  (auto)/2	-264.43	0.00	9.19	0.00	-4.39	0.00
B54	4.100	ULS-Set  B  (auto)/1	-240.75	0.00	-6.91	0.00	-3.16	0.00
B54	4.100	ULS-Set  B  (auto)/2	-325.01	0.00	-9.33	0.00	-4.27	0.00
B54	2.050+	ULS-Set  B  (auto)/2	-326.02	0.00	0.06	0.00	5.23	0.00
B54	0.000	ULS-Set  B  (auto)/2	-327.02	0.00	9.46	0.00	-4.54	0.00
B55	4.121	ULS-Set  B  (auto)/1	-264.33	0.00	-7.03	0.00	-3.17	0.00
B55	4.121	ULS-Set  B  (auto)/2	-356.84	0.00	-9.48	0.00	-4.27	0.00
B55	2.060-	ULS-Set  B  (auto)/2	-357.18	0.00	0.01	0.00	5.49	0.00
B55	0.000	ULS-Set  B  (auto)/2	-357.51	0.00	9.50	0.00	-4.30	0.00
B56	0.000	ULS-Set  B  (auto)/1	-263.17	0.00	7.03	0.00	-3.17	0.00
B56	4.121	ULS-Set  B  (auto)/2	-355.95	0.00	-9.50	0.00	-4.30	0.00
B56	2.060-	ULS-Set  B  (auto)/2	-355.61	0.00	-0.01	0.00	5.49	0.00
B56	0.000	ULS-Set  B  (auto)/2	-355.28	0.00	9.48	0.00	-4.27	0.00
B57	0.000	ULS-Set  B  (auto)/1	-237.31	0.00	6.91	0.00	-3.16	0.00
B57	4.100	ULS-Set  B  (auto)/2	-322.37	0.00	-9.46	0.00	-4.54	0.00
B57	2.050-	ULS-Set  B  (auto)/2	-321.37	0.00	-0.07	0.00	5.23	0.00
B57	0.000	ULS-Set  B  (auto)/2	-320.37	0.00	9.33	0.00	-4.27	0.00
B58	0.000	ULS-Set  B  (auto)/1	-187.82	0.00	6.84	0.00	-3.32	0.00
B58	4.060	ULS-Set  B  (auto)/2	-256.86	0.00	-9.19	0.00	-4.39	0.00
B58	2.030+	ULS-Set  B  (auto)/2	-255.21	0.00	0.02	0.00	4.91	0.00
B58	0.000	ULS-Set  B  (auto)/2	-253.56	0.00	9.23	0.00	-4.48	0.00
B59	0.000	ULS-Set  B  (auto)/1	-116.64	0.00	6.26	0.00	-3.19	0.00
B59	4.001	ULS-Set  B  (auto)/2	-162.00	0.00	-9.43	0.00	-6.27	0.00
B59	2.001-	ULS-Set  B  (auto)/2	-159.74	0.00	-0.49	0.00	3.66	0.00
B59	0.000	ULS-Set  B  (auto)/2	-157.47	0.00	8.45	0.00	-4.31	0.00
B60	0.000	ULS-Set  B  (auto)/1	-32.59	0.00	7.50	0.00	-4.55	0.00
B60	3.926	ULS-Set  B  (auto)/2	-49.68	0.00	-7.06	0.00	-0.14	0.00
B60	2.356	ULS-Set  B  (auto)/2	-47.41	0.00	-0.19	0.00	5.55	0.00
B60	0.000	ULS-Set  B  (auto)/2	-44.00	0.00	10.12	0.00	-6.15	0.00
B61	3.894	ULS-Set  B  (auto)/1	-41.92	-0.99	-7.33	0.00	-4.24	-1.83
B61	0.000	ULS-Set  B  (auto)/2	-62.25	-1.34	7.14	0.00	-0.38	2.75
B61	1.558	ULS-Set  B  (auto)/2	-59.98	-1.34	0.33	0.00	5.45	0.66
B61	3.894	ULS-Set  B  (auto)/2	-56.59	-1.34	-9.89	0.00	-5.73	-2.48
B62	3.968	ULS-Set  B  (auto)/1	-123.59	-0.34	-6.19	0.00	-3.05	-0.76
B62	0.000	ULS-Set  B  (auto)/2	-171.36	-0.46	9.37	0.00	-6.12	0.79
B62	1.984+	ULS-Set  B  (auto)/2	-169.10	-0.46	0.50	0.00	3.67	-0.12
B62	3.968	ULS-Set  B  (auto)/2	-166.84	-0.46	-8.36	0.00	-4.12	-1.03
B63	4.026	ULS-Set  B  (auto)/1	-191.14	-0.30	-6.76	0.00	-3.20	-0.60
B63	0.000	ULS-Set  B  (auto)/2	-261.32	-0.40	9.14	0.00	-4.35	0.80
B63	2.013-	ULS-Set  B  (auto)/2	-259.68	-0.40	0.01	0.00	4.86	-0.01
B63	4.026	ULS-Set  B  (auto)/2	-258.03	-0.40	-9.12	0.00	-4.31	-0.81
B64	4.065	ULS-Set  B  (auto)/1	-236.58	-0.18	-6.84	0.00	-3.08	-0.37
B64	0.000	ULS-Set  B  (auto)/2	-321.39	-0.24	9.40	0.00	-4.47	0.47
B64	2.033-	ULS-Set  B  (auto)/2	-320.39	-0.24	0.08	0.00	5.15	-0.01
B64	4.065	ULS-Set  B  (auto)/2	-319.39	-0.24	-9.24	0.00	-4.15	-0.50
B65	4.085	ULS-Set  B  (auto)/1	-259.05	-0.06	-6.96	0.00	-3.10	-0.13
B65	0.000	ULS-Set  B  (auto)/2	-350.39	-0.08	9.42	0.00	-4.23	0.15
B65	2.043-	ULS-Set  B  (auto)/2	-350.05	-0.08	0.01	0.00	5.40	-0.01
B65	4.085	ULS-Set  B  (auto)/2	-349.72	-0.08	-9.40	0.00	-4.18	-0.17
B66	0.000	ULS-Set  B  (auto)/1	-257.95	0.06	6.96	0.00	-3.10	-0.13
B66	4.085	ULS-Set  B  (auto)/2	-348.91	0.08	-9.42	0.00	-4.23	0.15
B66	2.043-	ULS-Set  B  (auto)/2	-348.57	0.08	-0.01	0.00	5.40	-0.01
B66	0.000	ULS-Set  B  (auto)/2	-348.24	0.08	9.40	0.00	-4.18	-0.18
B67	0.000	ULS-Set  B  (auto)/1	-233.31	0.18	6.84	0.00	-3.08	-0.37
B67	4.065	ULS-Set  B  (auto)/2	-316.97	0.24	-9.40	0.00	-4.48	0.48
