

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B595	2.308-	ULS-Set  B  (auto)/2	-3.15	0.00	0.00	0.00	0.20	0.20
B596	4.617	ULS-Set  B  (auto)/2	16.62	-0.18	-0.18	0.00	0.00	0.00
B596	0.000	ULS-Set  B  (auto)/2	16.34	0.18	0.18	0.00	0.00	0.00
B596	0.000	ULS-Set  B  (auto)/1	12.10	0.14	0.14	0.00	0.00	0.00
B596	2.308-	ULS-Set  B  (auto)/2	16.48	0.00	0.00	0.00	0.21	0.21
B597	4.599	ULS-Set  B  (auto)/2	36.12	-0.19	-0.19	0.00	0.00	0.00
B597	0.000	ULS-Set  B  (auto)/2	35.89	0.19	0.19	0.00	0.00	0.00
B597	0.000	ULS-Set  B  (auto)/1	26.58	0.14	0.14	0.00	0.00	0.00
B597	2.300-	ULS-Set  B  (auto)/2	36.00	0.00	0.00	0.00	0.22	0.22
B598	4.565	ULS-Set  B  (auto)/2	55.17	-0.19	-0.19	0.00	0.00	0.00
B598	0.000	ULS-Set  B  (auto)/2	54.97	0.19	0.19	0.00	0.00	0.00
B598	0.000	ULS-Set  B  (auto)/1	40.72	0.14	0.14	0.00	0.00	0.00
B598	2.283-	ULS-Set  B  (auto)/2	55.07	0.00	0.00	0.00	0.22	0.22
B599	4.516	ULS-Set  B  (auto)/2	72.21	-0.20	-0.20	0.00	0.00	0.00
B599	0.000	ULS-Set  B  (auto)/2	72.05	0.20	0.20	0.00	0.00	0.00
B599	0.000	ULS-Set  B  (auto)/1	53.37	0.15	0.15	0.00	0.00	0.00
B599	2.258-	ULS-Set  B  (auto)/2	72.13	0.00	0.00	0.00	0.22	0.22
B600	4.452	ULS-Set  B  (auto)/2	88.44	-0.20	-0.20	0.00	0.00	0.00
B600	0.000	ULS-Set  B  (auto)/2	88.31	0.20	0.20	0.00	0.00	0.00
B600	0.000	ULS-Set  B  (auto)/1	65.42	0.15	0.15	0.00	0.00	0.00
B600	2.226-	ULS-Set  B  (auto)/2	88.37	0.00	0.00	0.00	0.22	0.22
B601	4.479	ULS-Set  B  (auto)/1	-48.44	-0.10	-0.10	0.00	0.00	0.00
B601	4.479	ULS-Set  B  (auto)/2	-65.39	-0.13	-0.13	0.00	0.00	0.00
B601	0.000	ULS-Set  B  (auto)/2	-65.82	0.13	0.13	0.00	0.00	0.00
B601	2.239-	ULS-Set  B  (auto)/2	-65.60	0.00	0.00	0.00	0.15	0.15
B602	4.544	ULS-Set  B  (auto)/1	-44.35	-0.11	-0.11	0.00	0.00	0.00
B602	4.544	ULS-Set  B  (auto)/2	-59.87	-0.15	-0.15	0.00	0.00	0.00
B602	0.000	ULS-Set  B  (auto)/2	-60.28	0.15	0.15	0.00	0.00	0.00
B602	2.272-	ULS-Set  B  (auto)/2	-60.08	0.00	0.00	0.00	0.17	0.17
B603	4.595	ULS-Set  B  (auto)/1	-31.88	-0.12	-0.12	0.00	0.00	0.00
B603	4.595	ULS-Set  B  (auto)/2	-43.04	-0.16	-0.16	0.00	0.00	0.00
B603	0.000	ULS-Set  B  (auto)/2	-43.41	0.16	0.16	0.00	0.00	0.00
B603	2.297-	ULS-Set  B  (auto)/2	-43.22	0.00	0.00	0.00	0.18	0.18
B604	4.630	ULS-Set  B  (auto)/1	-17.56	-0.13	-0.13	0.00	0.00	0.00
B604	4.630	ULS-Set  B  (auto)/2	-23.71	-0.17	-0.17	0.00	0.00	0.00
B604	0.000	ULS-Set  B  (auto)/2	-24.06	0.17	0.17	0.00	0.00	0.00
B604	2.315-	ULS-Set  B  (auto)/2	-23.88	0.00	0.00	0.00	0.20	0.20
B605	4.647	ULS-Set  B  (auto)/1	-2.58	-0.13	-0.13	0.00	0.00	0.00
B605	4.647	ULS-Set  B  (auto)/2	-3.48	-0.18	-0.18	0.00	0.00	0.00
B605	0.000	ULS-Set  B  (auto)/2	-3.79	0.18	0.18	0.00	0.00	0.00
B605	2.324-	ULS-Set  B  (auto)/2	-3.64	0.00	0.00	0.00	0.21	0.21
B606	4.648	ULS-Set  B  (auto)/2	17.10	-0.19	-0.19	0.00	0.00	0.00
B606	0.000	ULS-Set  B  (auto)/2	16.82	0.19	0.19	0.00	0.00	0.00
B606	0.000	ULS-Set  B  (auto)/1	12.46	0.14	0.14	0.00	0.00	0.00
B606	2.324-	ULS-Set  B  (auto)/2	16.96	0.00	0.00	0.00	0.22	0.22
B607	4.630	ULS-Set  B  (auto)/2	37.45	-0.19	-0.19	0.00	0.00	0.00
B607	0.000	ULS-Set  B  (auto)/2	37.21	0.19	0.19	0.00	0.00	0.00
B607	0.000	ULS-Set  B  (auto)/1	27.56	0.14	0.14	0.00	0.00	0.00
B607	2.315-	ULS-Set  B  (auto)/2	37.33	0.00	0.00	0.00	0.22	0.22
B608	4.595	ULS-Set  B  (auto)/2	56.92	-0.20	-0.20	0.00	0.00	0.00
B608	0.000	ULS-Set  B  (auto)/2	56.72	0.20	0.20	0.00	0.00	0.00
B608	0.000	ULS-Set  B  (auto)/1	42.01	0.14	0.14	0.00	0.00	0.00
B608	2.298-	ULS-Set  B  (auto)/2	56.82	0.00	0.00	0.00	0.22	0.22
B609	4.544	ULS-Set  B  (auto)/2	73.65	-0.20	-0.20	0.00	0.00	0.00
B609	0.000	ULS-Set  B  (auto)/2	73.49	0.20	0.20	0.00	0.00	0.00
B609	0.000	ULS-Set  B  (auto)/1	54.44	0.15	0.15	0.00	0.00	0.00
B609	2.272-	ULS-Set  B  (auto)/2	73.57	0.00	0.00	0.00	0.22	0.22
B610	4.479	ULS-Set  B  (auto)/2	89.13	-0.20	-0.20	0.00	0.00	0.00
B610	0.000	ULS-Set  B  (auto)/2	89.01	0.20	0.20	0.00	0.00	0.00
B610	0.000	ULS-Set  B  (auto)/1	65.93	0.15	0.15	0.00	0.00	0.00
B610	2.240-	ULS-Set  B  (auto)/2	89.07	0.00	0.00	0.00	0.22	0.22
B611	4.452	ULS-Set  B  (auto)/1	-48.55	-0.10	-0.10	0.00	0.00	0.00
B611	4.452	ULS-Set  B  (auto)/2	-65.55	-0.13	-0.13	0.00	0.00	0.00
B611	0.000	ULS-Set  B  (auto)/2	-65.98	0.13	0.13	0.00	0.00	0.00
B611	2.226-	ULS-Set  B  (auto)/2	-65.76	0.00	0.00	0.00	0.15	0.15
B612	4.515	ULS-Set  B  (auto)/1	-43.63	-0.11	-0.11	0.00	0.00	0.00
B612	4.515	ULS-Set  B  (auto)/2	-58.90	-0.15	-0.15	0.00	0.00	0.00
B612	0.000	ULS-Set  B  (auto)/2	-59.31	0.15	0.15	0.00	0.00	0.00
B612	2.258-	ULS-Set  B  (auto)/2	-59.10	0.00	0.00	0.00	0.16	0.16
B613	4.565	ULS-Set  B  (auto)/1	-30.74	-0.12	-0.12	0.00	0.00	0.00
B613	4.565	ULS-Set  B  (auto)/2	-41.50	-0.16	-0.16	0.00	0.00	0.00
B613	0.000	ULS-Set  B  (auto)/2	-41.88	0.16	0.16	0.00	0.00	0.00
B613	2.283-	ULS-Set  B  (auto)/2	-41.69	0.00	0.00	0.00	0.18	0.18
B614	4.599	ULS-Set  B  (auto)/1	-16.63	-0.12	-0.12	0.00	0.00	0.00
B614	4.599	ULS-Set  B  (auto)/2	-22.44	-0.17	-0.17	0.00	0.00	0.00
B614	0.000	ULS-Set  B  (auto)/2	-22.79	0.17	0.17	0.00	0.00	0.00
B614	2.300-	ULS-Set  B  (auto)/2	-22.62	0.00	0.00	0.00	0.19	0.19
B615	4.617	ULS-Set  B  (auto)/1	-2.22	-0.13	-0.13	0.00	0.00	0.00
B615	4.617	ULS-Set  B  (auto)/2	-2.99	-0.18	-0.18	0.00	0.00	0.00
B615	0.000	ULS-Set  B  (auto)/2	-3.30	0.18	0.18	0.00	0.00	0.00
B615	2.308-	ULS-Set  B  (auto)/2	-3.15	0.00	0.00	0.00	0.20	0.20
B616	4.617	ULS-Set  B  (auto)/2	16.62	-0.18	-0.18	0.00	0.00	0.00
B616	0.000	ULS-Set  B  (auto)/2	16.34	0.18	0.18	0.00	0.00	0.00
B616	0.000	ULS-Set  B  (auto)/1	12.10	0.14	0.14	0.00	0.00	0.00
B616	2.308-	ULS-Set  B  (auto)/2	16.48	0.00	0.00	0.00	0.21	0.21
B617	4.599	ULS-Set  B  (auto)/2	36.12	-0.19	-0.19	0.00	0.00	0.00
B617	0.000	ULS-Set  B  (auto)/2	35.89	0.19	0.19	0.00	0.00	0.00
B617	0.000	ULS-Set  B  (auto)/1	26.58	0.14	0.14	0.00	0.00	0.00
B617	2.300-	ULS-Set  B  (auto)/2	36.00	0.00	0.00	0.00	0.22	0.22
B618	4.565	ULS-Set  B  (auto)/2	55.17	-0.19	-0.19	0.00	0.00	0.00
B618	0.000	ULS-Set  B  (auto)/2	54.97	0.19	0.19	0.00	0.00	0.00
B618	0.000	ULS-Set  B  (auto)/1	40.72	0.14	0.14	0.00	0.00	0.00
B618	2.283-	ULS-Set  B  (auto)/2	55.07	0.00	0.00	0.00	0.22	0.22
B619	4.516	ULS-Set  B  (auto)/2	72.21	-0.20	-0.20	0.00	0.00	0.00
B619	0.000	ULS-Set  B  (auto)/2	72.05	0.20	0.20	0.00	0.00	0.00
B619	0.000	ULS-Set  B  (auto)/1	53.37	0.15	0.15	0.00	0.00	0.00
B619	2.258-	ULS-Set  B  (auto)/2	72.13	0.00	0.00	0.00	0.22	0.22
B620	4.452	ULS-Set  B  (auto)/2	88.44	-0.20	-0.20	0.00	0.00	0.00
B620	0.000	ULS-Set  B  (auto)/2	88.31	0.20	0.20	0.00	0.00	0.00
B620	0.000	ULS-Set  B  (auto)/1	65.42	0.15	0.15	0.00	0.00	0.00
B620	2.226-	ULS-Set  B  (auto)/2	88.37	0.00	0.00	0.00	0.22	0.22
B621	4.372	ULS-Set  B  (auto)/1	-48.72	-0.09	-0.09	0.00	0.00	0.00
B621	4.372	ULS-Set  B  (auto)/2	-65.78	-0.13	-0.13	0.00	0.00	0.00
B621	0.000	ULS-Set  B  (auto)/2	-66.20	0.13	0.13	0.00	0.00	0.00
B621	2.186-	ULS-Set  B  (auto)/2	-65.99	0.00	0.00	0.00	0.14	0.14
B622	4.431	ULS-Set  B  (auto)/1	-41.05	-0.10	-0.10	0.00	0.00	0.00
B622	4.431	ULS-Set  B  (auto)/2	-55.41	-0.14	-0.14	0.00	0.00	0.00
B622	0.000	ULS-Set  B  (auto)/2	-55.81	0.14	0.14	0.00	0.00	0.00
B622	2.216-	ULS-Set  B  (auto)/2	-55.61	0.00	0.00	0.00	0.16	0.16
B623	4.477	ULS-Set  B  (auto)/1	-27.13	-0.11	-0.11	0.00	0.00	0.00
B623	4.477	ULS-Set  B  (auto)/2	-36.63	-0.15	-0.15	0.00	0.00	0.00
B623	0.000	ULS-Set  B  (auto)/2	-37.00	0.15	0.15	0.00	0.00	0.00
B623	2.239-	ULS-Set  B  (auto)/2	-36.82	0.00	0.00	0.00	0.17	0.17
B624	4.509	ULS-Set  B  (auto)/1	-13.87	-0.12	-0.12	0.00	0.00	0.00
B624	4.509	ULS-Set  B  (auto)/2	-18.72	-0.16	-0.16	0.00	0.00	0.00
B624	0.000	ULS-Set  B  (auto)/2	-19.06	0.16	0.16	0.00	0.00	0.00
B624	2.255-	ULS-Set  B  (auto)/2	-18.89	0.00	0.00	0.00	0.18	0.18
B625	4.525	ULS-Set  B  (auto)/1	-1.22	-0.13	-0.13	0.00	0.00	0.00
B625	4.525	ULS-Set  B  (auto)/2	-1.65	-0.17	-0.17	0.00	0.00	0.00
B625	0.000	ULS-Set  B  (auto)/2	-1.95	0.17	0.17	0.00	0.00	0.00
B625	2.263-	ULS-Set  B  (auto)/2	-1.80	0.00	0.00	0.00	0.20	0.20
B626	4.525	ULS-Set  B  (auto)/2	15.15	-0.18	-0.18	0.00	0.00	0.00
B626	0.000	ULS-Set  B  (auto)/2	14.87	0.18	0.18	0.00	0.00	0.00
B626	0.000	ULS-Set  B  (auto)/1	11.02	0.13	0.13	0.00	0.00	0.00
B626	2.263-	ULS-Set  B  (auto)/2	15.01	0.00	0.00	0.00	0.20	0.20
B627	4.509	ULS-Set  B  (auto)/2	32.10	-0.19	-0.19	0.00	0.00	0.00
B627	0.000	ULS-Set  B  (auto)/2	31.86	0.19	0.19	0.00	0.00	0.00
B627	0.000	ULS-Set  B  (auto)/1	23.60	0.14	0.14	0.00	0.00	0.00
B627	2.255-	ULS-Set  B  (auto)/2	31.98	0.00	0.00	0.00	0.21	0.21
B628	4.478	ULS-Set  B  (auto)/2	49.62	-0.19	-0.19	0.00	0.00	0.00
B628	0.000	ULS-Set  B  (auto)/2	49.42	0.19	0.19	0.00	0.00	0.00
B628	0.000	ULS-Set  B  (auto)/1	36.61	0.14	0.14	0.00	0.00	0.00
B628	2.239-	ULS-Set  B  (auto)/2	49.52	0.00	0.00	0.00	0.21	0.21
B629	4.431	ULS-Set  B  (auto)/2	67.31	-0.19	-0.19	0.00	0.00	0.00
B629	0.000	ULS-Set  B  (auto)/2	67.15	0.19	0.19	0.00	0.00	0.00
B629	0.000	ULS-Set  B  (auto)/1	49.74	0.14	0.14	0.00	0.00	0.00
B629	2.216-	ULS-Set  B  (auto)/2	67.23	0.00	0.00	0.00	0.21	0.21
B630	4.372	ULS-Set  B  (auto)/2	85.97	-0.19	-0.19	0.00	0.00	0.00
B630	0.000	ULS-Set  B  (auto)/2	85.84	0.19	0.19	0.00	0.00	0.00
B630	0.000	ULS-Set  B  (auto)/1	63.59	0.14	0.14	0.00	0.00	0.00
B630	2.186-	ULS-Set  B  (auto)/2	85.91	0.00	0.00	0.00	0.21	0.21
B631	4.243	ULS-Set  B  (auto)/1	-47.25	-0.09	-0.09	0.00	0.00	0.00
B631	4.243	ULS-Set  B  (auto)/2	-63.79	-0.12	-0.12	0.00	0.00	0.00
B631	0.000	ULS-Set  B  (auto)/2	-64.20	0.12	0.12	0.00	0.00	0.00
B631	2.121-	ULS-Set  B  (auto)/2	-64.00	0.00	0.00	0.00	0.13	0.13
B632	4.295	ULS-Set  B  (auto)/1	-34.77	-0.10	-0.10	0.00	0.00	0.00
B632	4.295	ULS-Set  B  (auto)/2	-46.94	-0.14	-0.14	0.00	0.00	0.00
B632	0.000	ULS-Set  B  (auto)/2	-47.34	0.14	0.14	0.00	0.00	0.00
B632	2.147-	ULS-Set  B  (auto)/2	-47.14	0.00	0.00	0.00	0.15	0.15
B633	4.335	ULS-Set  B  (auto)/1	-20.67	-0.11	-0.11	0.00	0.00	0.00
B633	4.335	ULS-Set  B  (auto)/2	-27.90	-0.15	-0.15	0.00	0.00	0.00
B633	0.000	ULS-Set  B  (auto)/2	-28.27	0.15	0.15	0.00	0.00	0.00
B633	2.168-	ULS-Set  B  (auto)/2	-28.09	0.00	0.00	0.00	0.16	0.16
B634	4.363	ULS-Set  B  (auto)/1	-9.76	-0.12	-0.12	0.00	0.00	0.00
B634	4.363	ULS-Set  B  (auto)/2	-13.17	-0.16	-0.16	0.00	0.00	0.00
B634	0.000	ULS-Set  B  (auto)/2	-13.51	0.16	0.16	0.00	0.00	0.00
B634	2.182-	ULS-Set  B  (auto)/2	-13.34	0.00	0.00	0.00	0.17	0.17
B635	4.377	ULS-Set  B  (auto)/2	0.10	-0.17	-0.17	0.00	0.00	0.00
B635	3.184	ULS-Set  B  (auto)/1	0.01	-0.06	-0.06	0.00	0.11	0.11
B635	0.000	ULS-Set  B  (auto)/2	-0.20	0.17	0.17	0.00	0.00	0.00
B635	2.189-	ULS-Set  B  (auto)/2	-0.05	0.00	0.00	0.00	0.18	0.18
B636	4.377	ULS-Set  B  (auto)/2	12.99	-0.17	-0.17	0.00	0.00	0.00
B636	0.000	ULS-Set  B  (auto)/2	12.73	0.17	0.17	0.00	0.00	0.00
B636	0.000	ULS-Set  B  (auto)/1	9.43	0.13	0.13	0.00	0.00	0.00
B636	2.189-	ULS-Set  B  (auto)/2	12.86	0.00	0.00	0.00	0.19	0.19
B637	4.363	ULS-Set  B  (auto)/2	25.97	-0.18	-0.18	0.00	0.00	0.00
B637	0.000	ULS-Set  B  (auto)/2	25.74	0.18	0.18	0.00	0.00	0.00
B637	0.000	ULS-Set  B  (auto)/1	19.07	0.13	0.13	0.00	0.00	0.00
B637	2.182-	ULS-Set  B  (auto)/2	25.85	0.00	0.00	0.00	0.20	0.20
B638	4.336	ULS-Set  B  (auto)/2	39.91	-0.18	-0.18	0.00	0.00	0.00
B638	0.000	ULS-Set  B  (auto)/2	39.72	0.18	0.18	0.00	0.00	0.00
B638	0.000	ULS-Set  B  (auto)/1	29.42	0.14	0.14	0.00	0.00	0.00
B638	2.168-	ULS-Set  B  (auto)/2	39.81	0.00	0.00	0.00	0.20	0.20
B639	4.295	ULS-Set  B  (auto)/2	56.91	-0.19	-0.19	0.00	0.00	0.00
B639	0.000	ULS-Set  B  (auto)/2	56.76	0.19	0.19	0.00	0.00	0.00
B639	0.000	ULS-Set  B  (auto)/1	42.04	0.14	0.14	0.00	0.00	0.00
B639	2.147-	ULS-Set  B  (auto)/2	56.84	0.00	0.00	0.00	0.20	0.20
B640	4.243	ULS-Set  B  (auto)/2	79.58	-0.19	-0.19	0.00	0.00	0.00
B640	0.000	ULS-Set  B  (auto)/2	79.46	0.19	0.19	0.00	0.00	0.00
B640	0.000	ULS-Set  B  (auto)/1	58.86	0.14	0.14	0.00	0.00	0.00
B640	2.121-	ULS-Set  B  (auto)/2	79.52	0.00	0.00	0.00	0.20	0.20
B641	4.070	ULS-Set  B  (auto)/1	-36.34	-0.09	-0.09	0.00	0.00	0.00
B641	4.070	ULS-Set  B  (auto)/2	-49.06	-0.12	-0.12	0.00	0.00	0.00
B641	0.000	ULS-Set  B  (auto)/2	-49.46	0.12	0.12	0.00	0.00	0.00
B641	2.035-	ULS-Set  B  (auto)/2	-49.26	0.00	0.00	0.00	0.12	0.12
B642	4.113	ULS-Set  B  (auto)/1	-23.91	-0.09	-0.09	0.00	0.00	0.00
B642	4.113	ULS-Set  B  (auto)/2	-32.28	-0.13	-0.13	0.00	0.00	0.00
B642	0.000	ULS-Set  B  (auto)/2	-32.66	0.13	0.13	0.00	0.00	0.00
B642	2.056-	ULS-Set  B  (auto)/2	-32.47	0.00	0.00	0.00	0.13	0.13
B643	4.146	ULS-Set  B  (auto)/1	-15.41	-0.10	-0.10	0.00	0.00	0.00
B643	4.146	ULS-Set  B  (auto)/2	-20.81	-0.14	-0.14	0.00	0.00	0.00
B643	0.000	ULS-Set  B  (auto)/2	-21.17	0.14	0.14	0.00	0.00	0.00
B643	2.073-	ULS-Set  B  (auto)/2	-20.99	0.00	0.00	0.00	0.14	0.14
B644	4.168	ULS-Set  B  (auto)/1	-9.01	-0.11	-0.11	0.00	0.00	0.00
B644	4.168	ULS-Set  B  (auto)/2	-12.16	-0.15	-0.15	0.00	0.00	0.00
B644	0.000	ULS-Set  B  (auto)/2	-12.49	0.15	0.15	0.00	0.00	0.00
B644	2.084-	ULS-Set  B  (auto)/2	-12.33	0.00	0.00	0.00	0.15	0.15
B645	4.180	ULS-Set  B  (auto)/1	-1.19	-0.12	-0.12	0.00	0.00	0.00
B645	4.180	ULS-Set  B  (auto)/2	-1.60	-0.16	-0.16	0.00	0.00	0.00
B645	0.000	ULS-Set  B  (auto)/2	-1.90	0.16	0.16	0.00	0.00	0.00
B645	2.090-	ULS-Set  B  (auto)/2	-1.75	0.00	0.00	0.00	0.16	0.16
B646	4.180	ULS-Set  B  (auto)/2	9.79	-0.16	-0.16	0.00	0.00	0.00
B646	0.000	ULS-Set  B  (auto)/2	9.53	0.16	0.16	0.00	0.00	0.00
B646	0.000	ULS-Set  B  (auto)/1	7.06	0.12	0.12	0.00	0.00	0.00
B646	2.090-	ULS-Set  B  (auto)/2	9.66	0.00	0.00	0.00	0.17	0.17
B647	4.168	ULS-Set  B  (auto)/2	20.11	-0.17	-0.17	0.00	0.00	0.00
B647	0.000	ULS-Set  B  (auto)/2	19.88	0.17	0.17	0.00	0.00	0.00
B647	0.000	ULS-Set  B  (auto)/1	14.73	0.13	0.13	0.00	0.00	0.00
B647	2.084-	ULS-Set  B  (auto)/2	20.00	0.00	0.00	0.00	0.18	0.18
B648	4.146	ULS-Set  B  (auto)/2	28.19	-0.18	-0.18	0.00	0.00	0.00
B648	0.000	ULS-Set  B  (auto)/2	28.00	0.18	0.18	0.00	0.00	0.00
B648	0.000	ULS-Set  B  (auto)/1	20.74	0.13	0.13	0.00	0.00	0.00
B648	2.073-	ULS-Set  B  (auto)/2	28.09	0.00	0.00	0.00	0.18	0.18
B649	4.112	ULS-Set  B  (auto)/2	37.40	-0.18	-0.18	0.00	0.00	0.00
B649	0.000	ULS-Set  B  (auto)/2	37.25	0.18	0.18	0.00	0.00	0.00
B649	0.000	ULS-Set  B  (auto)/1	27.59	0.13	0.13	0.00	0.00	0.00
B649	2.056-	ULS-Set  B  (auto)/2	37.33	0.00	0.00	0.00	0.18	0.18
B650	4.069	ULS-Set  B  (auto)/2	57.47	-0.18	-0.18	0.00	0.00	0.00
B650	0.000	ULS-Set  B  (auto)/2	57.35	0.18	0.18	0.00	0.00	0.00
B650	0.000	ULS-Set  B  (auto)/1	42.48	0.13	0.13	0.00	0.00	0.00
B650	2.035-	ULS-Set  B  (auto)/2	57.41	0.00	0.00	0.00	0.18	0.18
B651	3.861	ULS-Set  B  (auto)/1	-98.80	-0.08	-0.08	0.00	0.00	0.00
B651	3.861	ULS-Set  B  (auto)/2	-133.38	-0.11	-0.11	0.00	0.00	0.00
B651	0.000	ULS-Set  B  (auto)/2	-133.77	0.11	0.11	0.00	0.00	0.00
B651	1.930-	ULS-Set  B  (auto)/2	-133.57	0.00	0.00	0.00	0.10	0.10
B652	3.892	ULS-Set  B  (auto)/1	-89.69	-0.09	-0.09	0.00	0.00	0.00
B652	3.892	ULS-Set  B  (auto)/2	-121.08	-0.12	-0.12	0.00	0.00	0.00
B652	0.000	ULS-Set  B  (auto)/2	-121.45	0.12	0.12	0.00	0.00	0.00
B652	1.946-	ULS-Set  B  (auto)/2	-121.26	0.00	0.00	0.00	0.12	0.12
B653	3.917	ULS-Set  B  (auto)/1	-77.61	-0.10	-0.10	0.00	0.00	0.00
B653	3.917	ULS-Set  B  (auto)/2	-104.77	-0.13	-0.13	0.00	0.00	0.00
B653	0.000	ULS-Set  B  (auto)/2	-105.11	0.13	0.13	0.00	0.00	0.00
B653	1.958-	ULS-Set  B  (auto)/2	-104.94	0.00	0.00	0.00	0.13	0.13
B654	3.933	ULS-Set  B  (auto)/1	-60.11	-0.10	-0.10	0.00	0.00	0.00
B654	3.933	ULS-Set  B  (auto)/2	-81.15	-0.14	-0.14	0.00	0.00	0.00
B654	0.000	ULS-Set  B  (auto)/2	-81.47	0.14	0.14	0.00	0.00	0.00
B654	1.967-	ULS-Set  B  (auto)/2	-81.31	0.00	0.00	0.00	0.14	0.14
B655	3.942	ULS-Set  B  (auto)/1	-40.62	-0.11	-0.11	0.00	0.00	0.00
B655	3.942	ULS-Set  B  (auto)/2	-54.83	-0.15	-0.15	0.00	0.00	0.00
B655	0.000	ULS-Set  B  (auto)/2	-55.12	0.15	0.15	0.00	0.00	0.00
B655	1.971-	ULS-Set  B  (auto)/2	-54.97	0.00	0.00	0.00	0.14	0.14
B656	3.942	ULS-Set  B  (auto)/1	-20.85	-0.11	-0.11	0.00	0.00	0.00
B656	3.942	ULS-Set  B  (auto)/2	-28.15	-0.15	-0.15	0.00	0.00	0.00
B656	0.000	ULS-Set  B  (auto)/2	-28.41	0.15	0.15	0.00	0.00	0.00
B656	1.971-	ULS-Set  B  (auto)/2	-28.28	0.00	0.00	0.00	0.15	0.15
B657	3.933	ULS-Set  B  (auto)/1	-1.82	-0.12	-0.12	0.00	0.00	0.00
B657	3.933	ULS-Set  B  (auto)/2	-2.46	-0.16	-0.16	0.00	0.00	0.00
B657	0.000	ULS-Set  B  (auto)/2	-2.68	0.16	0.16	0.00	0.00	0.00
B657	1.967-	ULS-Set  B  (auto)/2	-2.57	0.00	0.00	0.00	0.16	0.16
B658	3.916	ULS-Set  B  (auto)/2	20.16	-0.16	-0.16	0.00	0.00	0.00
B658	0.000	ULS-Set  B  (auto)/2	19.98	0.16	0.16	0.00	0.00	0.00
B658	0.000	ULS-Set  B  (auto)/1	14.80	0.12	0.12	0.00	0.00	0.00
B658	1.958-	ULS-Set  B  (auto)/2	20.07	0.00	0.00	0.00	0.16	0.16
B659	3.892	ULS-Set  B  (auto)/2	36.56	-0.17	-0.17	0.00	0.00	0.00
B659	0.000	ULS-Set  B  (auto)/2	36.41	0.17	0.17	0.00	0.00	0.00
B659	0.000	ULS-Set  B  (auto)/1	26.97	0.12	0.12	0.00	0.00	0.00
B659	1.946-	ULS-Set  B  (auto)/2	36.48	0.00	0.00	0.00	0.16	0.16
B660	3.860	ULS-Set  B  (auto)/2	21.75	-0.17	-0.17	0.00	0.00	0.00
B660	0.000	ULS-Set  B  (auto)/2	21.64	0.17	0.17	0.00	0.00	0.00
B660	0.000	ULS-Set  B  (auto)/1	16.03	0.13	0.13	0.00	0.00	0.00
B660	1.930-	ULS-Set  B  (auto)/2	21.69	0.00	0.00	0.00	0.16	0.16
B661	5.189	ULS-Set  B  (auto)/2	51.98	-0.23	-0.23	0.00	0.00	0.00
B661	0.000	ULS-Set  B  (auto)/2	51.92	0.23	0.23	0.00	0.00	0.00
B661	0.000	ULS-Set  B  (auto)/1	38.46	0.17	0.17	0.00	0.00	0.00
B661	2.594-	ULS-Set  B  (auto)/2	51.95	0.00	0.00	0.00	0.30	0.30
B662	5.270	ULS-Set  B  (auto)/2	56.73	-0.23	-0.23	0.00	0.00	0.00
B662	0.000	ULS-Set  B  (auto)/2	56.62	0.23	0.23	0.00	0.00	0.00
B662	0.000	ULS-Set  B  (auto)/1	41.94	0.17	0.17	0.00	0.00	0.00
B662	2.635-	ULS-Set  B  (auto)/2	56.67	0.00	0.00	0.00	0.31	0.31
B663	5.332	ULS-Set  B  (auto)/2	30.50	-0.23	-0.23	0.00	0.00	0.00
B663	0.000	ULS-Set  B  (auto)/2	30.34	0.23	0.23	0.00	0.00	0.00
B663	0.000	ULS-Set  B  (auto)/1	22.47	0.17	0.17	0.00	0.00	0.00
B663	2.666-	ULS-Set  B  (auto)/2	30.42	0.00	0.00	0.00	0.31	0.31
B664	5.375	ULS-Set  B  (auto)/1	-1.52	-0.17	-0.17	0.00	0.00	0.00
B664	5.375	ULS-Set  B  (auto)/2	-2.06	-0.23	-0.23	0.00	0.00	0.00
B664	0.000	ULS-Set  B  (auto)/2	-2.26	0.23	0.23	0.00	0.00	0.00
B664	2.688-	ULS-Set  B  (auto)/2	-2.16	0.00	0.00	0.00	0.31	0.31
B665	5.397	ULS-Set  B  (auto)/1	-27.00	-0.17	-0.17	0.00	0.00	0.00
B665	5.397	ULS-Set  B  (auto)/2	-36.45	-0.23	-0.23	0.00	0.00	0.00
B665	0.000	ULS-Set  B  (auto)/2	-36.71	0.23	0.23	0.00	0.00	0.00
B665	2.699-	ULS-Set  B  (auto)/2	-36.58	0.00	0.00	0.00	0.31	0.31
B666	5.397	ULS-Set  B  (auto)/1	-52.72	-0.16	-0.16	0.00	0.00	0.00
B666	5.397	ULS-Set  B  (auto)/2	-71.18	-0.22	-0.22	0.00	0.00	0.00
B666	0.000	ULS-Set  B  (auto)/2	-71.47	0.22	0.22	0.00	0.00	0.00
