

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B47	1.330	ULS-Set  B  (auto)/1	-1050.01	-111.99	0.76	-6.70	602.23	76.19
B47	3.991	ULS-Set  B  (auto)/1	-1050.11	-111.99	-41.72	-6.70	547.74	-221.77
B48	0.000	ULS-Set  B  (auto)/2	-4560.76	62.80	-142.91	-15.48	333.70	-89.67
B48	4.801	ULS-Set  B  (auto)/1	-6168.27	84.78	-268.77	-20.90	-657.88	286.02
B48	0.000	ULS-Set  B  (auto)/1	-6157.02	84.78	-192.92	-20.90	450.50	-121.06
B49	2.685	ULS-Set  B  (auto)/2	430.82	-225.76	174.71	47.21	401.96	-381.89
B49	0.000	ULS-Set  B  (auto)/2	423.59	-225.76	205.63	47.21	-108.55	224.18
B49	0.000	ULS-Set  B  (auto)/1	571.84	-304.78	277.60	63.73	-146.55	302.64
B49	2.685	ULS-Set  B  (auto)/1	581.61	-304.78	235.86	63.73	542.65	-515.55
B50	1.018	ULS-Set  B  (auto)/2	-2568.05	292.59	242.00	-65.91	263.78	64.63
B50	0.000	ULS-Set  B  (auto)/2	-2571.29	292.59	253.60	-65.91	11.53	-233.23
B50	0.000	ULS-Set  B  (auto)/1	-3471.24	395.00	342.36	-88.98	15.56	-314.86
B50	1.018	ULS-Set  B  (auto)/1	-3466.87	395.00	326.70	-88.98	356.11	87.25
B51	0.031	ULS-Set  B  (auto)/2	-1725.11	2254.54	722.49	-137.98	142.25	-278.79
B51	0.000	ULS-Set  B  (auto)/2	-1725.19	2254.54	722.85	-137.98	120.00	-348.21
B51	0.031	ULS-Set  B  (auto)/1	-2328.90	3043.63	975.36	-186.27	192.03	-376.37
B51	0.000	ULS-Set  B  (auto)/1	-2329.00	3043.63	975.84	-186.27	162.00	-470.09
B52	0.000	ULS-Set  B  (auto)/2	510.92	804.06	356.08	-5.72	-175.06	-641.06
B52	1.571	ULS-Set  B  (auto)/2	513.23	804.06	337.64	-5.72	369.98	622.38
B52	0.000	ULS-Set  B  (auto)/1	689.74	1085.48	480.71	-7.72	-236.33	-865.44
B52	1.571	ULS-Set  B  (auto)/1	692.86	1085.48	455.81	-7.72	499.47	840.21
B53	4.326	ULS-Set  B  (auto)/2	1638.80	-163.00	-163.71	14.59	-366.40	-344.96
B53	0.000	ULS-Set  B  (auto)/1	2218.49	-220.05	-152.20	19.69	312.61	486.21
B53	0.000	ULS-Set  B  (auto)/2	1643.32	-163.00	-112.74	14.59	231.56	360.16
B53	4.326	ULS-Set  B  (auto)/1	2212.38	-220.05	-221.01	19.69	-494.64	-465.70
B54	3.010	ULS-Set  B  (auto)/2	-525.94	49.52	-1.49	6.40	164.11	54.94
B54	3.010	ULS-Set  B  (auto)/1	-710.02	66.85	-2.02	8.64	221.54	74.18
B54	0.000	ULS-Set  B  (auto)/2	-536.74	49.52	32.43	6.40	117.54	-94.10
B54	0.000	ULS-Set  B  (auto)/1	-724.60	66.85	43.79	8.64	158.68	-127.04
B55	0.000	ULS-Set  B  (auto)/1	3274.46	-378.23	-257.17	107.06	1155.31	516.75
B55	0.000	ULS-Set  B  (auto)/2	2425.53	-280.17	-190.50	79.30	855.79	382.77
B55	2.495	ULS-Set  B  (auto)/2	2426.45	-280.17	-220.00	79.30	343.61	-316.37
B55	2.495	ULS-Set  B  (auto)/1	3275.71	-378.23	-297.00	107.06	463.88	-427.10
B56	0.000	ULS-Set  B  (auto)/1	-1443.99	-2230.34	-415.45	-138.99	572.69	2159.22
B56	0.000	ULS-Set  B  (auto)/2	-1069.62	-1652.10	-307.74	-102.95	424.21	1599.42
B56	1.986	ULS-Set  B  (auto)/1	-1455.63	-2230.34	-444.95	-138.99	-281.63	-2269.96
B57	0.000	ULS-Set  B  (auto)/2	-2480.13	457.17	-198.43	63.84	53.27	-565.01
B57	2.838	ULS-Set  B  (auto)/1	-3361.98	617.18	-311.06	86.18	-749.73	989.05
B57	0.000	ULS-Set  B  (auto)/1	-3348.18	617.18	-267.89	86.18	71.92	-762.76
B58	1.044	ULS-Set  B  (auto)/1	1662.48	1248.86	-464.97	314.19	112.97	282.18
B58	0.000	ULS-Set  B  (auto)/2	1232.50	925.08	-332.12	232.73	436.69	-756.37
B58	1.044	ULS-Set  B  (auto)/2	1231.47	925.08	-344.42	232.73	83.68	209.02
B58	0.000	ULS-Set  B  (auto)/1	1663.87	1248.86	-448.36	314.19	589.53	-1021.09
B59	0.000	ULS-Set  B  (auto)/2	1003.92	-863.84	367.43	-130.28	-296.95	1188.39
B59	2.706	ULS-Set  B  (auto)/2	1012.08	-863.84	336.48	-130.28	655.41	-1149.04
B59	0.000	ULS-Set  B  (auto)/1	1355.29	-1166.18	496.04	-175.88	-400.88	1604.33
B59	2.706	ULS-Set  B  (auto)/1	1366.30	-1166.18	454.25	-175.88	884.80	-1551.21
